City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Minbu,20.18,94.88,81.5,84,100,3.42,MM,1600397510
Lüderitz,-26.65,15.16,55.83,71,0,13.65,NA,1600397510
Awjilah,29.11,21.29,72.5,74,0,8.84,LY,1600397510
Bethel,41.37,-73.41,62.01,93,1,3.71,US,1600397372
Jamestown,-15.94,-5.72,61.36,82,80,18.39,SH,1600397511
Sitka,57.05,-135.33,57.2,71,75,0.92,US,1600397511
Windhoek,-22.56,17.08,59.0,13,0,3.36,NA,1600397511
Cherskiy,68.75,161.3,36.73,81,98,5.91,RU,1600397511
Hobart,-42.88,147.33,60.01,40,20,8.05,AU,1600397431
Olafsvik,64.89,-23.71,48.6,87,63,20.02,IS,1600397512
Busselton,-33.65,115.33,60.01,58,31,5.01,AU,1600397501
Yinchuan,38.47,106.27,71.73,22,0,2.42,CN,1600397512
Atuona,-9.8,-139.03,77.85,76,26,19.69,PF,1600397498
Goundi,9.36,17.37,72.54,81,100,4.72,TD,1600397513
Longyearbyen,78.22,15.64,37.4,86,75,4.7,SJ,1600397513
Saint-Prosper,46.21,-70.48,37.0,100,0,1.5,CA,1600397513
Vila Velha,-20.33,-40.29,75.99,78,0,11.41,BR,1600397434
Hue,16.47,107.6,80.6,100,90,23.04,VN,1600397513
Kidal,18.44,1.41,85.75,51,92,9.64,ML,1600397514
Tuktoyaktuk,69.45,-133.04,42.8,93,75,9.17,CA,1600397514
Qaanaaq,77.48,-69.36,19.24,88,77,8.9,GL,1600397514
Vaini,-21.2,-175.2,71.6,94,90,11.41,TO,1600397515
Bilibino,68.05,166.44,36.46,80,98,6.35,RU,1600397509
Vadsø,70.07,29.75,42.8,81,75,19.46,NO,1600397515
Whitehorse,60.72,-135.05,57.2,28,75,12.75,CA,1600397515
Castrillón,43.4,-6.79,63.0,93,20,4.7,ES,1600397515
Oudtshoorn,-33.59,22.2,48.2,93,0,4.7,ZA,1600397516
Sault Ste. Marie,46.52,-84.33,44.6,65,1,5.82,CA,1600397246
Mount Gambier,-37.83,140.77,57.2,76,90,12.75,AU,1600397516
Kahului,20.89,-156.47,89.6,46,20,19.46,US,1600397516
Cape Town,-33.93,18.42,48.2,93,3,2.24,ZA,1600397461
Husavik,66.04,-17.34,50.0,61,20,11.41,IS,1600397517
Kalevala,65.2,31.17,35.8,92,100,1.43,RU,1600397517
Westport,53.8,-9.52,57.99,95,90,1.01,IE,1600397517
Dikson,73.51,80.55,44.38,91,69,12.28,RU,1600397517
Pevek,69.7,170.31,33.67,91,96,12.15,RU,1600397518
Muroto-misakicho,33.28,134.15,82.4,88,75,8.05,JP,1600397518
Coquimbo,-29.95,-71.34,53.6,87,0,1.3,CL,1600397518
Carnarvon,-24.87,113.63,80.6,30,0,12.75,AU,1600397364
Cap Malheureux,-19.98,57.61,72.0,64,87,5.01,MU,1600397519
Rikitea,-23.12,-134.97,72.03,82,6,22.3,PF,1600397519
Havre-St-Pierre,50.23,-63.6,37.4,62,1,8.05,CA,1600397519
Ahipara,-35.17,173.17,57.61,80,100,16.62,NZ,1600397519
Hilo,19.73,-155.09,82.4,61,75,9.17,US,1600397520
Hermanus,-34.42,19.23,53.83,80,14,4.92,ZA,1600397515
Puerto Ayora,-0.74,-90.35,66.0,90,79,1.01,EC,1600397520
Durban,-29.86,31.03,62.01,87,23,8.05,ZA,1600397520
Saldanha,-33.01,17.94,44.6,87,72,2.24,ZA,1600397521
Upernavik,72.79,-56.15,29.62,90,5,7.65,GL,1600397531
Provideniya,64.38,-173.3,51.8,66,75,11.18,RU,1600397531
Eyl,7.98,49.82,77.34,76,72,16.22,SO,1600397531
Kontagora,10.4,5.47,71.85,92,82,1.01,NG,1600397531
Aksu,41.12,80.26,75.29,19,28,4.45,CN,1600397532
Filadelfia,-22.35,-60.03,68.43,51,0,2.82,PY,1600397532
Komsomol'skiy,43.98,46.7,68.22,72,100,18.66,RU,1600397532
Edd,13.93,41.69,89.58,52,8,3.62,ER,1600397532
Nouadhibou,20.93,-17.03,78.62,68,35,18.25,MR,1600397533
Mar del Plata,-38.0,-57.56,57.2,47,32,12.88,AR,1600397508
Dunedin,-45.87,170.5,52.0,62,98,32.01,NZ,1600397533
Los Llanos de Aridane,28.66,-17.92,71.6,68,85,5.82,ES,1600397533
Ilulissat,69.22,-51.1,30.2,54,7,2.24,GL,1600397323
Tuatapere,-46.13,167.68,50.0,77,100,27.0,NZ,1600397534
Meulaboh,4.14,96.13,78.1,81,100,2.89,ID,1600397534
Port Augusta,-32.5,137.77,84.99,28,24,20.8,AU,1600397534
San Patricio,19.22,-104.7,79.16,80,100,1.79,MX,1600397534
Georgetown,-7.93,-14.42,72.97,77,100,18.25,SH,1600397535
Khatanga,71.97,102.5,58.08,53,78,16.84,RU,1600397535
Asnæs,55.81,11.5,45.0,89,28,5.35,DK,1600397535
Monrovia,6.3,-10.8,76.23,89,99,10.45,LR,1600397536
San Policarpo,12.18,125.51,82.94,65,100,2.68,PH,1600397536
Marabu,4.41,114.01,89.6,62,20,3.36,MY,1600397536
Chokurdakh,70.63,147.92,44.87,89,100,14.12,RU,1600397537
La Asuncion,11.03,-63.86,80.6,83,79,2.24,VE,1600397537
Cockburn Town,21.46,-71.14,83.16,78,0,12.44,TC,1600397537
Ancud,-41.87,-73.82,46.0,83,94,10.74,CL,1600397537
Port Elizabeth,-33.92,25.57,48.2,93,0,5.01,ZA,1600397538
Rapid Valley,44.06,-103.15,60.8,62,1,9.17,US,1600397538
Kandrian,-6.22,149.55,82.54,78,100,9.89,PG,1600397538
Oussouye,12.48,-16.55,78.8,100,40,4.7,SN,1600397538
Litovko,49.24,135.17,54.23,94,100,10.98,RU,1600397539
Miraflores,1.34,-71.95,72.59,88,98,0.72,CO,1600397539
Leh,34.17,77.58,51.58,44,5,6.13,IN,1600397539
Kieta,-6.22,155.63,81.64,79,100,6.08,PG,1600397540
Chui,-33.7,-53.46,55.33,86,0,8.48,UY,1600397517
East London,-33.02,27.91,59.63,74,31,11.5,ZA,1600397540
Leningradskiy,69.38,178.42,33.58,92,100,17.94,RU,1600397540
Polson,47.69,-114.16,57.99,73,0,2.71,US,1600397541
Paamiut,61.99,-49.67,43.29,81,100,43.73,GL,1600397541
Brownwood,31.71,-98.99,69.8,77,1,6.64,US,1600397541
Gornyak,48.06,37.37,54.64,39,48,5.12,UA,1600397541
Jhanjhārpur,26.27,86.28,83.73,79,25,10.51,IN,1600397542
Saint George,32.38,-64.68,79.0,88,20,9.17,BM,1600397542
Bealanana,-14.55,48.73,55.13,87,96,3.36,MG,1600397552
Hirara,24.8,125.28,87.8,79,75,11.41,JP,1600397552
Orange,-33.28,149.1,64.0,64,100,4.0,AU,1600397357
Lebu,-37.62,-73.65,48.43,83,1,13.06,CL,1600397511
Severnyy-Kospashskiy,59.09,57.8,41.0,100,100,2.26,RU,1600397553
Morozovsk,48.35,41.83,53.13,55,20,9.13,RU,1600397553
Yarkovo,57.4,67.08,47.79,90,100,9.4,RU,1600397554
Hamilton,32.29,-64.78,79.0,88,20,9.17,BM,1600397416
Nanortalik,60.14,-45.24,43.52,90,86,11.86,GL,1600397554
Saint-Pierre,46.77,-56.17,61.61,89,66,22.06,PM,1600397554
Mahébourg,-20.41,57.7,69.8,77,75,13.87,MU,1600397554
Portland,-38.33,141.6,55.87,82,100,11.03,AU,1600397556
Berlevåg,70.86,29.09,42.8,81,90,16.11,NO,1600397556
San Andrés,12.58,-81.7,84.4,70,28,2.86,CO,1600397556
Roi Et,16.06,103.65,77.0,100,75,9.17,TH,1600397557
Byron Bay,-28.65,153.62,75.0,73,40,12.75,AU,1600397558
Soe,-9.86,124.28,87.55,34,8,6.82,ID,1600397558
Paramonga,-10.67,-77.83,59.18,87,13,4.72,PE,1600397559
Makakilo City,21.35,-158.09,87.8,58,40,9.17,US,1600397513
Ciudad Bolivar,8.12,-63.55,81.23,70,72,5.41,VE,1600397559
Turukhansk,65.82,87.98,53.64,80,100,10.83,RU,1600397559
Vardø,70.37,31.11,42.8,81,75,19.46,NO,1600397560
Wilmington,34.23,-77.94,79.0,94,90,14.52,US,1600397446
Celestún,20.87,-90.4,83.21,80,37,3.53,MX,1600397560
Nantong,32.03,120.87,68.0,80,100,5.68,CN,1600397303
Talnakh,69.49,88.4,50.0,93,40,11.18,RU,1600397561
Arraial do Cabo,-22.97,-42.03,71.6,88,0,9.17,BR,1600397561
Kayerkan,69.35,87.76,50.0,93,40,11.18,RU,1600397561
Tutóia,-2.76,-42.27,79.34,78,45,14.25,BR,1600397561
Hirado,33.36,129.55,75.2,78,75,14.99,JP,1600397561
Kruisfontein,-34.0,24.73,48.94,87,0,4.59,ZA,1600397562
Nuuk,64.18,-51.72,37.4,69,100,13.87,GL,1600397562
Tasiilaq,65.61,-37.64,37.4,69,100,2.71,GL,1600397562
Hiroshima,34.4,132.46,75.2,73,75,10.29,JP,1600397562
Katsuura,35.13,140.3,87.8,66,75,26.4,JP,1600397563
Sobolevo,54.43,31.9,46.11,85,100,18.32,RU,1600397563
Mehrān,33.12,46.16,68.0,14,0,6.93,IR,1600397563
Ponta do Sol,17.2,-25.09,80.6,88,20,3.36,CV,1600397564
Måløy,61.94,5.11,55.99,100,90,12.75,NO,1600397564
Cēsis,57.31,25.27,46.99,77,47,5.01,LV,1600397564
Pirmasens,49.2,7.61,57.0,100,1,5.82,DE,1600397564
Guerrero Negro,27.98,-114.06,82.89,42,0,8.72,MX,1600397565
Alofi,-19.06,-169.92,75.2,88,75,16.11,NU,1600397565
Thompson,55.74,-97.86,32.0,86,20,4.25,CA,1600397565
Cabo San Lucas,22.89,-109.91,84.2,62,40,2.42,MX,1600397512
Fortuna,40.6,-124.16,66.99,88,40,5.82,US,1600397575
San Cristobal,-0.9,-89.62,66.09,86,19,11.65,EC,1600397576
Aswān,24.09,32.91,86.34,25,0,9.37,EG,1600397291
Jalu,29.03,21.55,73.24,71,0,9.08,LY,1600397576
Clyde River,70.47,-68.59,33.8,85,90,2.24,CA,1600397576
Kaitangata,-46.28,169.85,51.01,62,100,21.0,NZ,1600397577
Olinda,-8.01,-34.86,77.0,73,40,8.05,BR,1600397577
Saskylakh,71.92,114.08,56.35,58,0,11.1,RU,1600397577
Caiapônia,-16.96,-51.81,77.99,26,82,1.28,BR,1600397577
Atar,20.52,-13.05,94.28,14,0,9.84,MR,1600397578
Half Moon Bay,37.46,-122.43,72.0,93,90,5.82,US,1600397578
São João da Barra,-21.64,-41.05,72.79,80,0,19.17,BR,1600397578
Songea,-10.68,35.65,60.15,90,0,6.69,TZ,1600397578
Avarua,-21.21,-159.78,73.4,73,91,13.87,CK,1600397578
Sørland,67.67,12.69,51.48,85,100,31.7,NO,1600397527
Napāsar,27.97,73.55,92.7,47,0,14.58,IN,1600397579
São Filipe,14.9,-24.5,79.65,84,0,7.9,CV,1600397579
Necochea,-38.55,-58.74,46.0,3,62,1.01,AR,1600397580
Tarnogskiy Gorodok,60.5,43.58,47.35,96,100,10.76,RU,1600397580
Puerto Escondido,15.85,-97.07,77.0,69,90,9.17,MX,1600397426
Zverinogolovskoye,54.46,64.85,47.82,82,94,9.51,RU,1600397580
Prince Rupert,54.32,-130.32,60.8,93,1,4.7,CA,1600397581
Nikolskoye,59.7,30.79,46.4,87,90,13.42,RU,1600397581
Merrill,45.18,-89.68,50.0,61,1,6.93,US,1600397581
Liverpool,44.03,-64.72,57.99,88,100,2.26,CA,1600397581
Lavrentiya,65.58,-171.0,46.96,75,100,10.56,RU,1600397582
Eldorado,24.32,-107.36,86.0,79,40,5.82,MX,1600397582
Victoria,-4.62,55.45,78.8,83,75,13.87,SC,1600397582
Burnie,-41.07,145.92,55.0,53,9,8.99,AU,1600397583
Soldotna,60.49,-151.06,59.0,41,90,12.75,US,1600397583
Magadan,59.57,150.8,52.95,51,0,1.86,RU,1600397584
Kaoma,-14.78,24.8,63.7,47,0,4.23,ZM,1600397584
Terrace,54.52,-128.6,64.4,72,20,0.4,CA,1600397584
Samfya,-11.36,29.56,67.48,48,41,9.37,ZM,1600397584
Cidreira,-30.18,-50.21,59.97,89,1,6.51,BR,1600397528
Geraldton,-28.77,114.6,69.8,35,0,17.22,AU,1600397562
Bengkulu,-3.8,102.27,83.84,66,40,5.53,ID,1600397585
Havelock,34.88,-76.9,80.01,100,75,5.82,US,1600397585
Dwārka,22.24,68.97,83.53,79,53,12.35,IN,1600397585
Kloulklubed,7.04,134.26,80.6,83,75,5.82,PW,1600397586
Mount Isa,-20.73,139.5,89.6,38,40,14.99,AU,1600397586
Vila Franca do Campo,37.72,-25.43,68.0,72,20,10.29,PT,1600397596
Bambous Virieux,-20.34,57.76,72.0,77,75,13.87,MU,1600397596
Siderno,38.28,16.3,77.0,73,20,8.05,IT,1600397597
Buala,-8.14,159.59,80.92,84,100,11.45,SB,1600397597
Narsaq,60.92,-46.05,44.6,70,100,5.82,GL,1600397597
Salinas,-2.22,-80.97,69.35,85,85,10.83,EC,1600397597
Bandar,2.05,99.75,87.89,55,99,2.77,ID,1600397598
Pringsewu,-5.36,104.97,88.45,50,24,2.91,ID,1600397598
Buenos Aires,9.17,-83.33,74.26,82,100,0.85,CR,1600397598
Charlottesville,38.03,-78.48,66.2,93,90,5.82,US,1600397598
Ormara,25.21,64.64,85.66,39,10,7.96,PK,1600397599
Tateyama,34.98,139.87,87.01,83,75,25.28,JP,1600397599
Rixheim,47.75,7.4,59.0,82,75,8.05,FR,1600397599
Laguna,-28.48,-48.78,61.11,95,68,0.54,BR,1600397600
Santarém,-2.44,-54.71,78.8,94,8,0.94,BR,1600397600
Muros,42.78,-9.06,62.01,95,60,3.0,ES,1600397600
Norman Wells,65.28,-126.83,57.2,54,40,5.82,CA,1600397600
Khanbari,27.37,87.2,75.94,74,97,0.11,NP,1600397600
Broken Hill,-31.95,141.43,77.0,41,75,17.22,AU,1600397595
Henties Bay,-22.12,14.28,53.01,93,0,4.0,NA,1600397601
Bantou,26.22,117.49,80.29,74,96,3.29,CN,1600397601
Padang,-0.95,100.35,83.89,65,100,6.33,ID,1600397601
Boguchany,58.38,97.45,58.66,58,100,8.75,RU,1600397601
Fukuechō,32.69,128.84,69.8,88,75,14.99,JP,1600397603
Valleyview,55.07,-117.29,55.62,80,0,9.51,CA,1600397603
Kutum,14.2,24.67,75.72,42,43,2.42,SD,1600397603
Totoral,-18.52,-66.87,43.07,59,100,2.21,BO,1600397603
Dunhua,43.37,128.24,58.8,68,45,16.31,CN,1600397604
Bonavista,48.65,-53.11,59.9,88,100,17.65,CA,1600397604
São Caetano de Odivelas,-0.75,-48.02,78.87,78,0,9.6,BR,1600397604
Lodwar,3.12,35.6,79.47,48,59,15.77,KE,1600397605
Nanaimo,49.17,-123.94,66.99,82,90,4.7,CA,1600397342
Ostrovnoy,68.05,39.51,39.25,83,100,6.29,RU,1600397605
Xinmin,41.99,122.83,68.0,45,0,11.18,CN,1600397606
Maceió,-9.67,-35.74,68.0,94,20,2.24,BR,1600397396
Cuaspud,0.86,-77.73,48.0,92,74,1.83,CO,1600397606
Tilichiki,60.47,166.1,49.48,63,69,9.08,RU,1600397606
Bathsheba,13.22,-59.52,77.0,83,20,5.82,BB,1600397606
Plettenberg Bay,-34.05,23.37,54.99,72,0,3.44,ZA,1600397607
Kyabé,9.45,18.94,72.5,91,100,0.98,TD,1600397607
Tanout,14.97,8.89,83.53,50,0,12.1,NE,1600397607
Rørvik,64.86,11.24,54.45,92,100,35.7,NO,1600397607
Martapura,-3.42,114.85,87.8,62,20,8.05,ID,1600397608
Honningsvåg,70.98,25.97,42.8,81,90,16.11,NO,1600397608
Ulaanbaatar,47.91,106.88,48.2,49,0,2.24,MN,1600397608
Cayenne,4.93,-52.33,77.0,94,0,2.24,GF,1600397609
Pitsunda,43.16,40.34,71.6,73,20,11.18,GE,1600397619
Clarksdale,34.2,-90.57,71.6,73,88,7.7,US,1600397619
Adrar,25.75,-1.0,85.91,22,0,10.16,DZ,1600397620
Kawalu,-7.38,108.21,85.98,50,10,4.34,ID,1600397620
Lagoa,39.05,-27.98,70.21,80,73,17.92,PT,1600397620
Pleasant Point,-44.27,171.13,56.48,50,10,10.89,NZ,1600397620
Khovd,48.01,91.64,62.67,29,42,2.48,MN,1600397621
Aleksandrovsk-Sakhalinskiy,50.9,142.16,63.9,89,76,7.16,RU,1600397621
Marsh Harbour,26.54,-77.06,83.68,72,91,9.17,BS,1600397621
Aykhal,66.0,111.5,55.4,43,1,6.71,RU,1600397621
Muğla Province,37.23,28.36,69.8,82,0,2.24,TR,1600397388
Willmar,45.12,-95.04,48.99,70,1,3.83,US,1600397622
Kavieng,-2.57,150.8,84.18,74,99,8.05,PG,1600397622
Kungurtug,50.6,97.52,62.76,35,17,1.25,RU,1600397622
Okrika,4.74,7.08,75.2,100,75,4.36,NG,1600397622
Raudeberg,61.99,5.14,55.99,83,100,30.0,NO,1600397623
Korla,41.76,86.15,76.5,18,33,15.73,CN,1600397450
Kirakira,-10.45,161.92,83.1,78,100,13.56,SB,1600397623
Pacific Grove,36.62,-121.92,66.0,91,64,5.1,US,1600397520
Albury,-36.08,146.92,63.0,82,40,6.93,AU,1600397460
Grindavik,63.84,-22.43,46.4,93,75,21.92,IS,1600397624
Sibolga,1.74,98.78,83.08,70,81,2.44,ID,1600397348
Saint Albans,38.39,-81.84,66.0,91,5,5.23,US,1600397624
Rundu,-17.93,19.77,64.0,36,0,0.96,NA,1600397624
Pokhara,28.23,83.98,76.44,77,73,3.09,NP,1600397373
Naze,28.37,129.48,86.0,84,75,9.17,JP,1600397625
Severo-Kuril'sk,50.68,156.12,55.22,84,100,4.7,RU,1600397625
Khāsh,28.22,61.22,66.36,24,0,2.15,IR,1600397625
Nan,18.83,100.67,82.4,88,40,4.7,TH,1600397626
Bajil,15.06,43.29,86.49,69,1,3.27,YE,1600397576
Plastun,44.76,136.29,68.09,66,1,6.15,RU,1600397418
Panjāb,34.39,67.02,42.66,62,0,5.55,AF,1600397626
Voskevan,41.12,45.07,66.2,77,90,1.12,AM,1600397626
Qarqīn,37.42,66.04,62.51,31,0,10.71,AF,1600397627
Mackay,-21.15,149.2,78.01,65,40,17.22,AU,1600397627
Kijang,0.9,104.63,84.2,79,40,8.05,ID,1600397627
Santa Rosa,-36.62,-64.28,58.93,32,81,12.21,AR,1600397627
Bariloche,-41.15,-71.31,41.0,65,40,27.51,AR,1600397627
Yar-Sale,66.83,70.83,46.38,91,100,7.52,RU,1600397628
Iralaya,15.0,-83.23,82.02,80,12,7.56,HN,1600397628
Tura,64.28,100.25,53.2,59,67,8.37,RU,1600397628
Thinadhoo,0.53,72.93,83.03,75,71,9.4,MV,1600397612
Emerald,-23.53,148.17,82.4,32,0,14.99,AU,1600397629
Voh,-20.97,164.7,80.02,57,1,12.95,NC,1600397629
Partizanskoye,55.5,94.39,61.21,63,88,11.16,RU,1600397630
Lautaro,-38.52,-72.45,44.6,100,40,3.36,CL,1600397630
Klaksvík,62.23,-6.59,51.8,93,86,10.29,FO,1600397565
Cascas,-7.48,-78.82,61.88,66,98,0.47,PE,1600397641
Jiuquan,39.74,98.52,69.48,21,0,8.39,CN,1600397440
Kamenka,51.32,42.77,54.0,45,100,16.46,RU,1600397641
Kavaratti,10.57,72.64,82.42,80,100,21.61,IN,1600397641
Semey,50.41,80.23,59.0,47,96,22.37,KZ,1600397642
Gafargaon,24.43,90.57,82.4,78,75,6.64,BD,1600397642
Deputatsky,69.3,139.9,42.26,88,100,11.21,RU,1600397642
Panique,12.48,122.02,82.63,74,100,6.64,PH,1600397643
Matara,5.95,80.54,80.69,83,100,12.93,LK,1600397643
Mehamn,71.04,27.85,42.8,81,90,16.11,NO,1600397643
Banda Aceh,5.56,95.32,84.45,66,100,14.54,ID,1600397348
Kenai,60.55,-151.26,59.0,47,90,14.99,US,1600397643
Svetlaya,46.54,138.33,64.42,70,0,5.68,RU,1600397644
Gannan,47.91,123.5,58.75,82,80,10.09,CN,1600397644
Lashio,22.93,97.75,79.7,77,100,1.25,MM,1600397644
Hambantota,6.12,81.12,82.4,88,40,12.75,LK,1600397645
Piaçabuçu,-10.41,-36.43,71.55,83,0,3.49,BR,1600397645
Vestmannaeyjar,63.44,-20.27,49.75,75,100,18.95,IS,1600397645
Turka,52.95,108.22,57.0,56,0,3.22,RU,1600397645
Vostok,46.49,135.88,59.9,83,5,4.23,RU,1600397646
Kharan,28.58,65.42,72.88,21,0,5.17,PK,1600397646
Moose Factory,51.26,-80.61,39.2,69,1,10.29,CA,1600397646
Kottagūdem,17.55,80.63,84.7,78,0,0.4,IN,1600397646
Mwinilunga,-11.74,24.43,64.54,71,95,4.45,ZM,1600397647
Frunze,48.67,38.75,54.82,38,95,6.46,UA,1600397647
Adjumani,3.38,31.79,67.17,97,77,1.41,UG,1600397647
Tautira,-17.73,-149.15,84.2,62,40,3.36,PF,1600397648
El Salto,20.33,-104.5,69.01,92,100,5.01,MX,1600397648
Lampang,18.33,99.5,88.0,74,75,3.36,TH,1600397648
Peniche,39.36,-9.38,64.0,85,83,8.99,PT,1600397649
Pathein,16.78,94.73,86.67,74,84,6.64,MM,1600397649
Englewood,39.65,-104.99,66.99,46,34,3.65,US,1600397649
Zapolyarnyy,69.42,30.81,41.0,80,100,23.04,RU,1600397649
La Ronge,55.1,-105.28,41.0,86,40,4.29,CA,1600397650
Warmbad,-28.45,18.73,55.4,33,0,5.35,NA,1600397650
Salalah,17.02,54.09,80.6,83,75,8.05,OM,1600397650
Arti,56.42,58.53,39.78,91,61,8.16,RU,1600397650
Ketchikan,55.34,-131.65,62.6,77,90,5.82,US,1600397371
Wenling,28.37,121.36,77.0,83,96,13.89,CN,1600397651
Constantine,36.37,6.61,60.8,67,49,2.24,DZ,1600397651
Chapleau,47.84,-83.4,33.46,87,54,4.18,CA,1600397651
Yellandu,17.6,80.33,83.71,79,0,1.3,IN,1600397652
Kishorganj,24.43,90.77,85.69,75,43,5.59,BD,1600397652
Biltine,14.53,20.92,83.88,33,49,7.29,TD,1600397662
Aklavik,68.22,-135.01,51.8,66,75,6.93,CA,1600397605
Ngozi,-2.91,29.83,57.07,73,68,1.28,BI,1600397662
Ikryanoye,46.09,47.73,48.2,81,56,6.71,RU,1600397663
Tsiroanomandidy,-18.77,46.03,58.87,72,4,2.48,MG,1600397663
Praia,14.92,-23.51,79.56,82,0,6.64,CV,1600397642
Port Blair,11.67,92.75,79.57,87,100,17.96,IN,1600397553
Faanui,-16.48,-151.75,78.28,78,14,15.03,PF,1600397664
Gladstone,-23.85,151.25,77.0,50,14,16.11,AU,1600397664
Kysyl-Syr,63.9,122.76,56.5,55,0,1.61,RU,1600397664
Sarkand,45.41,79.92,49.64,62,100,6.26,KZ,1600397664
Havøysund,71.0,24.66,44.6,75,20,24.16,NO,1600397665
Borogontsy,62.67,131.17,56.86,41,0,4.23,RU,1600397665
Neftçala,39.37,49.25,75.2,68,71,14.81,AZ,1600397665
Xiongzhou,25.12,114.3,72.34,80,97,5.35,CN,1600397666
Yanam,16.73,82.22,84.2,79,75,5.82,IN,1600397666
Saint-François,16.25,-61.27,77.0,94,20,6.78,GP,1600397666
Ngunguru,-35.62,174.5,61.0,3,100,13.0,NZ,1600397666
Jackson,42.42,-122.83,77.0,41,40,4.7,US,1600397063
Havre,48.55,-109.68,64.4,45,1,11.41,US,1600397527
Alyangula,-13.85,136.42,87.8,58,90,14.99,AU,1600397667
Adavere,58.71,25.9,48.0,81,99,13.87,EE,1600397667
Baião,-2.79,-49.67,80.71,74,66,5.93,BR,1600397667
Gamba,-2.65,10.0,74.21,91,100,7.49,GA,1600397651
Kholodnyy,62.72,147.95,46.81,53,1,1.39,RU,1600397668
Ponta Delgada,37.73,-25.67,68.0,72,20,10.29,PT,1600397668
Beaufort,5.35,115.75,87.8,66,20,4.7,MY,1600397668
Lompoc,34.64,-120.46,66.0,88,20,8.05,US,1600397584
Alta Floresta,-9.88,-56.09,75.51,40,28,2.15,BR,1600397669
Bondo,3.81,23.69,68.58,97,100,0.76,CD,1600397669
Batī,11.18,40.02,67.71,72,31,4.56,ET,1600397669
Mayo,63.59,-135.9,60.8,38,90,10.29,CA,1600397669
Kudahuvadhoo,2.67,72.89,82.54,78,100,12.03,MV,1600397670
Salaberry-de-Valleyfield,45.25,-74.13,48.0,66,0,3.49,CA,1600397521
Warrington,30.38,-87.28,80.6,94,1,3.36,US,1600397670
Tanete,-3.94,119.78,93.07,45,47,9.6,ID,1600397670
Svetlogorsk,54.94,20.15,55.4,62,40,13.42,RU,1600397670
